t; alpha; omega
553; 3.1400000; -0.0000000
554; 3.1400000; -0.0000000
555; 3.1400000; -0.0000000
556; 3.1400000; -0.0000000
557; 3.1400000; -0.0000000
558; 3.1400000; -0.0000000
559; 3.1400000; -0.0000000
560; 3.1400000; -0.0000000
561; 3.1400000; -0.0000000
562; 3.1400000; -0.0000000
563; 3.1400000; -0.0000000
564; 3.1400000; -0.0000000
565; 3.1400000; -0.0000000
566; 3.1400000; -0.0000000
567; 3.1400000; -0.0000000
568; 3.1400000; -0.0000000
569; 3.1400000; -0.0000000
570; 3.1400000; -0.0000000
571; 3.1400000; -0.0000000
572; 3.1400000; -0.0000000
573; 3.1400000; -0.0000000
574; 3.1400000; -0.0000000
575; 3.1400000; -0.0000000
576; 3.1400000; -0.0000000
577; 3.1400000; -0.0000000
578; 3.1400000; -0.0000000
579; 3.1400000; -0.0000000
580; 3.1400000; -0.0000000
581; 3.1400000; -0.0000000
582; 3.1400000; -0.0000000
583; 3.1400000; -0.0000000
584; 3.1400000; -0.0000000
585; 3.1400000; -0.0000000
586; 3.1400000; -0.0000000
587; 3.1400000; -0.0000000
588; 3.1400000; -0.0000000
589; 3.1400000; -0.0000000
590; 3.1400000; 0.0000000
591; 3.1400000; 0.0000000
592; 3.1400000; 0.0000000
593; 3.1400000; 0.0000000
594; 3.1400000; 0.0000000
595; 3.1400000; 0.0000000
596; 3.1400000; 0.0000000
597; 3.1400000; 0.0000000
598; 3.1400000; 0.0000000
599; 3.1400000; 0.0000000
600; 3.1400000; 0.0000000
601; 3.1400000; 0.0000000
602; 3.1400000; 0.0000000
603; 3.1400000; 0.0000000
604; 3.1400000; 0.0000000
605; 3.1400000; 0.0000000
606; 3.1400000; 0.0000000
607; 3.1400000; 0.0000000
608; 3.1400000; 0.0000000
609; 3.1400000; 0.0000000
610; 3.1400000; 0.0000000
611; 3.1400000; 0.0000000
612; 3.1400000; 0.0000000
613; 3.1400000; 0.0000000
614; 3.1400000; 0.0000000
615; 3.1400000; 0.0000000
616; 3.1400000; 0.0000000
617; 3.1400000; 0.0000000
618; 3.1400000; 0.0000000
619; 3.1400000; 0.0000000
620; 3.1400000; 0.0000000
621; 3.1400000; 0.0000000
622; 3.1400000; 0.0000000
623; 3.1400000; 0.0000000
624; 3.1400000; 0.0000000
625; 3.1400000; 0.0000000
626; 3.1400000; 0.0000000
627; 3.1400000; 0.0000000
628; 3.1400000; 0.0000000
629; 3.1400000; 0.0000000
630; 3.1400000; 0.0000000
631; 3.1400000; 0.0000000
632; 3.1400000; 0.0000000
633; 3.1400000; 0.0000000
634; 3.1400000; 0.0000000
635; 3.1400000; 0.0000000
636; 3.1400000; 0.0000000
637; 3.1400000; 0.0000000
638; 3.1400000; 0.0000000
639; 3.1400000; 0.0000000
640; 3.1400000; 0.0000000
641; 3.1400000; 0.0000000
642; 3.1400000; 0.0000000
643; 3.1400000; 0.0000000
644; 3.1400000; 0.0000000
645; 3.1400000; 0.0000000
